Comentario,type,date,gid,ciudad,calle1,calle2,modo,fuente,link,responsabl,gravedad,victimasex,victimaeda,fuente2,nombre,seguimient,hora,placa,vehiculo,fuente1,calle,calle3,condicion,placas,liga,municipio,bicicleta,nota,otro,victima
(2/3) Sobre la Av. Eduardo Molina con la calle Oriente 157 en la GAM reportan que hay tres policías atropellados en un punto de revisión de alcoholímetro.,Incidente vial,2018-01-27,"5456",,Av. Eduardo Molina,calle Oriente 157,peaton,https://twitter.com/tavojeda5/status/957170917959806976,,,,,,,,,0:38,,,,,,,,,,,,,
(3/3) Sobre la Av. Eduardo Molina con la calle Oriente 157 en la GAM reportan que hay tres policías atropellados en un punto de revisión de alcoholímetro.,Incidente vial,2018-01-27,"5457",,Av. Eduardo Molina,calle Oriente 157,peaton,https://twitter.com/tavojeda5/status/957170917959806976,,,,,,,,,0:38,,,,,,,,,,,,,
"Reportan persona atropellada en la Av. Hidalgo al cruce con Valerio Trujano, en el Centro Histórico. ¡Cede el paso a CruzRoja_MX !",Incidente vial,2018-01-27,"5459",,Av. Hidalgo,,peaton,https://twitter.com/RedVialRC/status/957414102804156416,,,,,,,,,16:44,,,,Valerio Trujano,,,,,,,,,
"Periférico y Canal  de Chalco, hay una persona atropellada, en espera de ambulancia.",Incidente vial,2018-01-27,"5463",,Periférico,Canal de Chalco,peaton,https://twitter.com/OpEsMx/status/957476340994838528,,,,,,,,,20:52,,,,,,,,,,,,,
"En la esquina de av Instituto Politécnico Nacional y Ticomán en GAM, automovilistas reportan un #ciclista atropellado. Precaución.",Incidente vial,2018-01-29,"5464",,Av. Instituto Politécnico Nacional,Ticomán,ciclista,https://twitter.com/isidrocorro/status/957954129585872897,,,,,,,,,4:30,,,,,,,,,,,,,
"Reportan persona atropellada en el Eje 1 Norte Mosqueta al cruce con la calle Lerdo, poco antes de Paseo de la Reforma.",Incidente vial,2018-01-29,"5465",,Eje 1 Norte Mosqueta,Lerdo,peaton,https://twitter.com/RedVialRC/status/958061898666213376,,,,,,https://twitter.com/ApoyoVial/status/958062927692554240,,,11:38,,,,,,,,,,,,,
"Reportan persona atropellada en la avenida México al cruce con Guerrero, colonia Tizapán. ¡Cede el paso a la CruzRoja_MX !",Incidente vial,2018-01-30,"5467",,Avenida México,Guerrero,peaton,https://twitter.com/RedVialRC/status/958357682372665344,,,,,,https://twitter.com/ApoyoVial/status/958366443959042049,,,7:14,,,,,,,,,,,,,
"Reportan persona atropellada sobre Vasco de Quiroga al cruce con Mario Pani, Santa Fe DF 
¡Cede el paso a unidades de emergencia! 
",Incidente vial,2018-01-30,"5468",,Vasco de Quiroga,Mario Pani,peaton,https://twitter.com/RedVialRC/status/958377948150628352,,,,,,,,,8:34,,,,,,,,,,,,,
"Patzcuaro y Laguna del Carmen colonia Anahuac, persona atropellada",Incidente vial,2018-01-31,"5469",,Lago Patzcuaro,Laguna del Carmen,peaton,https://twitter.com/alegv72/status/958695240910635008,,,,,,,,,5:35,,,,,,,,,,,,,
Persona atropellada en Calzada Ticomán y Escuadrón 201. Precaución. Ceda el Paso.,Incidente vial,2018-01-31,"5472",,Calzada Ticomán,Escuadrón 201,peaton,https://twitter.com/ApoyoVial/status/958797442438266887,,,,,,,,,12:21,,,,,,,,,,,,,
Persona atropellada en Vasco de Quiroga y Juan Salvador Agraz. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-01-31,"5473",,Vasco de Quiroga,Juan Salvador Agraz,peaton,https://twitter.com/ApoyoVial/status/958855866073133056,,,,,,https://twitter.com/peaton_anonimo/status/958916662375452672,,,16:13,,,,,,,,,,,,,
"Peatón atropellado en Mariano Escobedo y Lago Alberto, atiende CruzRoja_MX y aparentemente no hay auto responsable.",Incidente vial,2018-01-31,"5477",,Mariano Escobedo,Lago Alberto,peaton,https://twitter.com/paogomm/status/958879163972276224,,,,,,,,Atendido ambulancia,17:46,,,,,,,,,,,,,
"A las 7:34 pm, Fray Servando y Eliodoro, atropellado, procede unidad de ERUM.",Incidente vial,2018-01-31,"5480",,Fray Servando Teresa de Mier,Rafael Heliodoro Valle,peaton,https://twitter.com/peaton_anonimo/status/958917517652774912,,,,,,,,,7:34,,,,,,,,,,,,,
"A las 9:14 pm, Lago de Moreno y Dolores Hidalgo, col. San Felipe de Jesús tenemos atropellado.",Incidente vial,2018-01-31,"5482",,Lagos de Moreno,Av. Dolores Hidalgo,peaton,https://twitter.com/peaton_anonimo/status/958917685529718785,,,,,,,,,9:14,,,,,,,,,,,,,
"Ahora: Eje 5 norte y Calzada Vallejo, Col. Industrial Vallejo, atropellado, perímetro La Raza.",Incidente vial,2018-01-31,"5483",,Eje 5 Norte,Calzada Vallejo,peaton,https://twitter.com/peaton_anonimo/status/958922721232064512,,,,,,,,,20:39,,,,,,,,,,,,,
Servicios de emergencia se dirigen a la Calz. Ignacio Zaragoza a la altura de la Av. Jesús G. Y Villa por persona #atropellada. ¡Evita el punto!,Incidente vial,2018-02-01,"5486",,Calz. Ignacio Zaragoza,Av. Jesús G. Y Villa,peaton,https://twitter.com/RedVialRC/status/959209602045960192,,,,,,,,,15:39,,,,,,,,,,,,,
"7:48 pm, 1era calle de San Juan y Canal de San Juan, indican atropellado.",Incidente vial,2018-02-01,"5487",,Cda. Canal de San Juan,Av. Canal de San Juan,peaton,https://twitter.com/peaton_anonimo/status/959288453715251200,,,,,,,,,20:52,,,,,,,,,,,,,
"Av. de las Torres y Flor de Loto, AOB. atropellado.",Incidente vial,2018-02-01,"5488",,Av. de las Torres,Flor de Loto,peaton,https://twitter.com/peaton_anonimo/status/959290129633329152,,,,,,,,,20:59,,,,,,,,,,,,,
Persona atropellada en Av Unión y Balancan Col. Héroes de Padierna.Tengan cuidado.,Incidente vial,2018-02-02,"5491",,Av. Unión,Balancan,peaton,http://twitter.com/PokzBo/status/959429725721575430,,,,,,,,,8:14,,,,,,,,,,,,,
Servicios de emergencia laborando por menor atropellado en Francisco Morazan y Estado de Baja California Norte.,Incidente vial,2018-02-02,"5492",,Francisco Morazán,Estado de Baja California Norte,peaton,https://twitter.com/ApoyoVial/status/959438768305405952,,,,,"10",https://twitter.com/MrElDiablo8/status/959430144195784705,,Atendido ambulancia y servicios de emergencia,6:50,,,,,,,,,,,,,
Reportan persona atropellada sobre Dr. Río de la Loza al cruce con el Eje 1 Poniente Cuauhtémoc.,Incidente vial,2018-02-02,"5494",,Dr. Río de la Loza,Eje 1 Poniente Cuauhtémoc.,peaton,https://twitter.com/RedVialRC/status/959453141468147712,,,,,,https://twitter.com/ApoyoVial/status/959454465341366272,,,7:47,,,,,,,,,,,,,
Servicios de emergencia continúan atendiendo a ciclista atropellado en la Av. Chapultepec al cruce con el Eje 1 Poniente Cuauhtémoc. ¡Toma en cuenta que hallarás ReduccióndeCarril !,Incidente vial,2018-02-02,"5495",,Av. Chapultepec,Eje 1 Poniente Cuauhtémoc.,ciclista,https://twitter.com/RedVialRC/status/959460558134300672,,,,,,,,Atendido ambulancia,8:16,,,,,,,,,,,,,
Movilización de servicios de emergencia por persona atropellada sobre el Circuito de la República a la altura de la calle Ignacio L. Vallarta. ¡Evita la zona!,Incidente vial,2018-02-02,"5496",,Circuito de la República,Ignacio L. Vallarta,peaton,https://twitter.com/RedVialRC/status/959459702269726721,,,,,,,,Atendido ambulancia,8:13,,,,,,,,,,,,,
Accidente en Alicia y Noé una persona atropellada.,Incidente vial,2018-02-02,"5497",,Alicia,Noé,peaton,https://twitter.com/32_Mario/status/959646711680417792,,,,,,,,,20:36,,,,,,,,,,,,,
"Amigos lamento informarles que una persona acaba de perder la vida al ser atropellada sobre los centrales de Tlalpan, dir. al sur, a la altura de la calle Cádiz. SSP se encuentra en el punto abanderando la zona para evitar cualquier otro incidente. QEPD",Incidente vial,2018-02-02,"5498",,Tlalpan,Cádiz,peaton,https://twitter.com/MrElDiablo8/status/959691779317616640,,particular,mortal,hombre,"50",https://twitter.com/alejandrotv40/status/959699003200897024,,Personal SSP,23:35,,,,,,,,,,,,,
"Urge médica para menor atropellado, en ferrocarriles Nacionales y Polo Norte.",Incidente vial,2018-02-03,"5499",,Ferrocarriles Nacionales,Polo Norte,peaton,https://twitter.com/ConsejoTlahuac/status/959955182321881089,,,,,"10",,,,17:02,,,,,,,,,,,,,
"Por la mañana, Muere hombre de la 3era edad atropellado por pipa de Pemex en Av. Año de Juárez y Floricultur Col. San Luis tlaxialtemalco, Xochimilco el semáforo fuera de servicio desdé Ayer. CDMX",Incidente vial,2018-02-04,"5503",,Av. Año de Juárez,Floricultur,peaton,https://twitter.com/ElPolloCDMX/status/960275180546293761,,particular PEMEX,mortal,hombre,"65",,,,14:13,,,,,,,,,,,,,
"Atropellado en Cuauhtémoc y Dr. Olvera, manden ambulancia.",Incidente vial,2018-02-04,"5505",,Cuauhtémoc,Dr. Olvera,peaton,https://twitter.com/R0RMX/status/960366284218224641,,,,,,,,,20:15,,,,,,,,,,,,,
"Amigos lamento informarles que una persona acaba de perder la vida al ser atropellada sobre Eje 6, Luis Méndez y Albarrada, en Iztapalapa. SSP en el punto. QEPD",Incidente vial,2018-02-05,"5507",,Eje 6 Sur Luis Méndez,Albarrada,peaton,https://twitter.com/MrElDiablo8/status/960708452074082304,,,mortal,,,,,SSP en el sitio,18:55,,,,,,,,,,,,,
Una persona fue atropellada sobre Canal del Norte al cruce con la calzada de los Misterios en la colonia Ex Hipódromo de Peralvillo. ¡Cede el paso a los servicios de emergencia!,Incidente vial,2018-02-13,"5556",,Canal del Norte,Calzada de los Misterios,peaton,,,,,,,,,,,,,,,,,,,,,,,
Justo en este momento persona atropellada en el cruce de Av. Churubusco y Josefa Ortiz de Dgz. frente a Plaza Coyoacán. Circulen con precaución.,Incidente vial,2018-02-06,"5512",,Av. Río Churubusco,Josefa Ortiz de Domínguez,peaton,https://twitter.com/BeFreeTweet/status/960866179211513856,,,,,,,,,5:22,,,,,,,,,,,,,
Precaución Persona atropellada en División del Norte y calzada de Tlalpan. Servicios de emergencia laboran en el lugar.,Incidente vial,2018-02-06,"5513",,División del Norte,Calzada de Tlalpan,peaton,https://twitter.com/ApoyoVial/status/960909552379203584,,,,,,,,,8:14,,,,,,,,,,,,,
Persona atropellada en Av. Instituto Politécnico Nacional y Matanzas. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-06,"5516",,Av. Instituto Politécnico Nacional,Matanzas,peaton,https://twitter.com/ApoyoVial/status/960961884143931393,,,,,,,,,11:42,,,,,,,,,,,,,
Persona atropellada en Av. Instituto Politécnico Nacional y Matanzas. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-06,"5517",,Av. Instituto Politécnico Nacional,Matanzas,peaton,https://twitter.com/ApoyoVial/status/960961884143931393,,,,,,,,,11:42,,,,,,,,,,,,,
Persona atropellada en Av. Instituto Politécnico Nacional y Matanzas. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-06,"5518",,Av. Instituto Politécnico Nacional,Matanzas,peaton,https://twitter.com/ApoyoVial/status/960961884143931393,,,,,,,,,11:42,,,,,,,,,,,,,
Persona atropellada en Av. Instituto Politécnico Nacional y Matanzas. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-06,"5521",,Av. Instituto Politécnico Nacional,Matanzas,peaton,https://twitter.com/ApoyoVial/status/960961884143931393,,,,,,,,,11:42,,,,,,,,,,,,,
Persona atropellada en Av. Instituto Politécnico Nacional y Matanzas. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-06,"5522",,Av. Instituto Politécnico Nacional,Matanzas,peaton,https://twitter.com/ApoyoVial/status/960961884143931393,,,,,,,,,11:42,,,,,,,,,,,,,
"Servicios Periciales realizan el levantamiento del cuerpo de un ciclista, que fue embestido por la unidad 253 deL MetrobusCDMX y después fue atropellado por una camioneta particular sobre Insurgentes Sur. QEPD",Incidente vial,2018-02-06,"5524",,Insurgentes Sur,Perisur,ciclista,https://twitter.com/MrElDiablo8/status/961059847625216002,http://www.milenio.com/estados/ciclista-murio-atropellado-en-periferifo-e-insurgentes,metrobús y camioneta,mortal,hombre,"30",https://twitter.com/RedVialRC/status/961047213513297920,,,15:21,,,,,,,,,,,,,
Persona atropellada en Eje 5 Norte Montevideo y Av. 17 de Mayo. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-06,"5525",,Eje 5 Norte Montevideo,Av. 17 de Mayo,peaton,https://twitter.com/ApoyoVial/status/961037767512870914,,,,,,,,,16:43,,,,,,,,,,,,,
"Servicios de emergencia se dirigen a Congreso de la Unión en su cruce con la avenida Canal del Norte por un menor atropellado. ¡Cede el paso! 
",Incidente vial,2018-02-07,"5527",,Congreso de la Unión,Av. Canal del Norte,peaton,https://twitter.com/RedVialRC/status/961290475348078592,,,,,"10",,,,9:28,,,,,,,,,,,,,
"Arriban servicios periciales a Paseo del Pedregal y San Jerónimo, DelegacionAO, donde una persona de la tercera edad perdió la vida al ser atropellada por una unidad de transporte público. QEPD",Incidente vial,2018-02-07,"5528",,Paseo del Pedregal,San Jerónimo,peaton,https://twitter.com/MrElDiablo8/status/961391001163231233,http://www.milenio.com/estados/mujer-edad-murio-atropellada-alvaro-obregon,autobús,mortal,mujer,"65",https://twitter.com/JerrxG13/status/961446033208283137,,Servicios periciales,16:07,"0870071",,,,,,,,,,,,
Encontrarás servicios de emergencia sobre José María Izazaga en su cruce con el Eje Central Lázaro Cárdenas por persona atropellada.,Incidente vial,2018-02-08,"5529",,José María Izazaga,Eje Central Lázaro Cárdenas,peaton,https://twitter.com/RedVialRC/status/961629580175044608,,,,,,https://twitter.com/MrElDiablo8/status/961625712821227521,,Atendido ambulancia,7:40,,,,,,,,,,,,,
Ciclista atropellado en cruce de Circunvalación y Av H. Congreso de la Unión. Unidades de emergencia al lugar. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-08,"5530",,Av. Circunvalación,Av. H. Congreso de la Unión,ciclista,https://twitter.com/ApoyoVial/status/961649040718000128,,,,,,https://twitter.com/RedVialRC/status/961645452918738947,,Atendido ambulancia,9:12,,,,,,,,,,,,,
Persona atropellada al cruce de la calle Mar Arábigo y la Calz. México-Tacuba. ¡Cede el paso a @SSP_CDMX y CruzRoja_MX!,Incidente vial,2018-02-08,"5532",,Mar Arábigo,Calz. México-Tacuba,peaton,https://twitter.com/RedVialRC/status/961650256277639179,,,,,,https://twitter.com/ApoyoVial/status/961652090803191812,,,9:17,,,,,,,,,,,,,
"Amigos lamento informarles que una persona perdió la vida al ser atropellada por un transporte de carga en Canal Río Churubusco esq. Eje 5 sur, Col. Aculco. Del_Iztapalapa.
QEPD",Incidente vial,2018-02-08,"5533",,Canal Río Churubusco,Eje 5 sur,peaton,https://twitter.com/MrElDiablo8/status/961718700456992768,,particular,mortal,mujer,"35",https://twitter.com/JerrxG13/status/961724598399197184,,,13:49,,camón de carga,,,,,,,,,,,
"Cede el paso, ya que en Ignacio Allende y Eje 3 Norte en su tramo Camarones encontrarás  Unidades De Emergencia por persona atropellada. CruzRoja_MX.",Incidente vial,2018-02-09,"5534",,Ignacio Allende,Eje 3 Norte,peaton,https://twitter.com/RedVialRC/status/962000011964960769,,,,,,,,Atendido ambulancia,8:27,,,,,,,,,,,,,
Persona atropellada en Av. Canal de San Juan y Calzada Zaragoza. Unidades de emergencia al lugar. Precaución Ceda el Paso.,Incidente vial,2018-02-09,"5535",,Av. Canal de San Juan,Calzada Zaragoza,peaton,https://twitter.com/ApoyoVial/status/962023668875431936,,,,,,https://twitter.com/RedVialRC/status/962022061567705089,,Atendido ambulancia,10:01,,,,,,,,,,,,,
"Una persona fue atropellada sobre la calle Brasil al cruce con Venezuela en la colonia Centro 
¡Cede el paso a los vehículos de emergencia!
",Incidente vial,2018-02-09,"5536",,Brasil,Venezuela,peaton,https://twitter.com/RedVialRC/status/962090301233025024,,,,,,,,,14:26,,,,,,,,,,,,,
"Persona atropellada en eje 3 sur y congreso , metro jamaica.",Incidente vial,2018-02-09,"5537",,Eje 3 Sur,Jamaica,peaton,https://twitter.com/felipon22/status/961964993280266240,,,,,,,,,6:08,,,,,,,,,,,,,
Mujer atropellada en Marina Nacional a la altura de Pemex. Tránsito muy lento y caos en la zona.,Incidente vial,2018-02-09,"5538",,Av. Marina Nacional,A la altura de la Torre Pemex,peaton,https://twitter.com/AlmaIcela/status/962075497394987009,,,,,,,,,13:27,,,,,,,,,,,,,
"(1/2) Amigos hace unos minutos dos elementos de SSP_CDMX fueron atropellados sobre Calzada Ermita y San Lorenzo, col. San Miguel en Iztapalapa, en un punto del Alcoholímetro. Ya fueron atendidos y trasladados a un hospital. 
",Incidente vial,2018-02-09,"5541",,Calzada Ermita Iztapalapa,Av. San Lorenzo,peaton,https://twitter.com/MrElDiablo8/status/962255607817482241,,,,,,,,Traslado a hospital,1:23,,,,,,,,,,,,,
"(2/2) Amigos hace unos minutos dos elementos de SSP_CDMX fueron atropellados sobre Calzada Ermita y San Lorenzo, col. San Miguel en Iztapalapa, en un punto del Alcoholímetro. Ya fueron atendidos y trasladados a un hospital.
",Incidente vial,2018-02-10,"5543",,Calzada Ermita Iztapalapa,Av. San Lorenzo,peaton,https://twitter.com/MrElDiablo8/status/962255607817482241,,,,,,,,Traslado a hospital,1:23,,,,,,,,,,,,,
"Persona atropellada al cruce de República del Salvador y la calle Talavera, Col. Centro. ¡Cede el paso a SSP_CDMX y CruzRoja_MX!",Incidente vial,2018-02-10,"5544",,República del Salvador,Talavera,peaton,https://twitter.com/RedVialRC/status/962397575352668160,,,,,,,,,10:47,,,,,,,,,,,,,
"Paramédicos de la Cruz Roja labora con persona atropellada en Nuevo León al cruce con Vicente Suárez en la Colonia Condesa 
",Incidente vial,2018-02-11,"5545",,Av. Nuevo León,Vicente Suárez,peaton,https://twitter.com/RedVialRC/status/962746193355952128,,,,,,,,Atendido ambulancia,9:52,,,,,,,,,,,,,
"Por favor urge ambulancia en rojo gómez y zaragoza debajo del puente, persona atropellada!",Incidente vial,2018-02-12,"5548",,Rojo Gómez,Calzada Ignacio Zaragoza,peaton,https://twitter.com/lalo_guzman/status/963243602737471488,,,,,,,,,18:49,,,,,,,,,,,,,
¡Cede el paso! Servicios de emergencia se dirigen a la calle Xocongo y Manuel Gutiérrez Nájera para atender a una persona atropellada. CruzRoja_MX SSP_CDMX,Incidente vial,2018-02-13,"5550",,Xocongo,Manuel Gutiérrez Nájera,peaton,https://twitter.com/RedVialRC/status/963393646207930368,,,,,,,,,4:45,,,,,,,,,,,,,
¡Cede el paso a los servicios de emergencia! Se dirigen en apoyo a una persona atropellada en Av. del Taller y Calz. de la Viga. CruzRoja_MX  SSP_CDMX,Incidente vial,2018-02-13,"5551",,Av. del Taller,Calzada de la Viga,peaton,https://twitter.com/RedVialRC/status/963425186749079552,,,,,,,,,6:50,,,,,,,,,,,,,
Una persona fue atropellada sobre Canal del Norte al cruce con la calzada de los Misterios en la colonia Ex Hipódromo de Peralvillo. ¡Cede el paso a los servicios de emergencia!,Incidente vial,2018-02-13,"5557",,Canal del Norte,Calzada de los Misterios,peaton,https://twitter.com/RedVialRC/status/963463675276333056,,,,,,,,,9:23,,,,,,,,,,,,,
Servicios de emergencia atienden a una persona atropellada en Insurgentes Norte y Montevideo.,Incidente vial,2018-02-14,"5558",,Insurgentes Norte,Montevideo,peaton,https://twitter.com/MrElDiablo8/status/963858580456665090,,,,,,https://twitter.com/ApoyoVial/status/963861494650867712,,,11:32,,,,,,,,,,,,,
¡Cuidado! Persona atropellada en Calz. Vallejo y Av. 3 A.,Incidente vial,2018-02-15,"5559",,Calzada Vallejo,Av. 3A,peaton,https://twitter.com/trafico889/status/964136742046478337,,,,,,,,,5:58,,,,,,,,,,,,,
"Reporte de persona atropellada sobre el Eje 6 Sur y la calle Ixcateopan, muy cerca de la Av. Universidad. ¡Cede el paso a servicios de emergencia!",Incidente vial,2018-02-15,"5560",,Eje 6 Sur,Ixcateopan,peaton,https://twitter.com/RedVialRC/status/964147864338292738,,,,,,,,,6:42,,,,,,,,,,,,,
"Se registra una persona atropellada sobre calle Nueve y Patriotismo en la colonia San Pedro de los Pinos. 
¡Cede el paso a los vehículos de emergencia!",Incidente vial,2018-02-15,"5564",,Calle 9,Patriotismo,peaton,https://twitter.com/RedVialRC/status/964177951175729158,,,,,,,,,8:41,,,,,,,,,,,,,
Ciclista atropellado en Paseo de la Reforma altura de calle Acuario hacia Periférico. Precaución. Ceda el Paso.,Incidente vial,2018-02-15,"5565",,Paseo de la Reforma,Acuario,peaton,https://twitter.com/ApoyoVial/status/964183144814534657,,,,,,https://twitter.com/RedVialRC/status/964182165255749633,,,9:02,,,,,,,,,,,,,
Mujer atropellada en Eje 1  Norte y cruce de Anfora. Maneje con precaución. Ceda el Paso.,Incidente vial,2018-02-15,"5566",,Eje 1  Norte,Anfora,peaton,https://twitter.com/ApoyoVial/status/964184961061400576,,,,,,https://twitter.com/RedVialRC/status/964183433437118466,,,9:09,,,,,,,,,,,,,
"Esta mañana un Policía de Investigación de la Ciudad de México fue atropellado por conductor de una camioneta en cruce de Niños Héroes y Dr Velasco col Doctores,  Paramedicos de la Cruz Roja  Mexicana lo trasladaron  a un hospital.",Incidente vial,2018-02-15,"5569",,Niños Héroes,Dr. Velasco,peaton,https://twitter.com/ApoyoVial/status/964221837222862856,,particular,moderada,hombre,hombre,https://twitter.com/ricardovitela/status/964220696950984705,,Traslado a hospital,11:36,,,,,,,,,,,,,
Se registra una persona atropellada sobre Paseo de la Reforma al cruce con Eje Uno Norte Mosqueta y en dirección a Insurgentes. ¡Cede el paso a los vehículos de emergencia!,Incidente vial,2018-02-16,"5574",,Paseo de la Reforma,Eje 1 Norte,peaton,https://twitter.com/MonitorCdmx/status/964516164276662273,,,,,,,,,7:00,,,,,,,,,,,,,
Persona atropellada en Liras y Cairo. Unidades de emergencia laborando en el lugar. Maneje con precaución.,Incidente vial,2018-02-16,"5575",,Liras,Cairo,peaton,https://twitter.com/ApoyoVial/status/964548866560462852,,,,,,,,,9:15,,,,,,,,,,,,,
Una persona perdió la vida después de ser atropellado sobre Periférico a la altura de Circuito Estadio Azteca y en dirección a Insurgentes. ¡Cede el paso a los vehículos de emergencia!,Incidente vial,2018-02-17,"5576",,Periférico,Boulevard Gran Sur,peaton,https://twitter.com/RedVialRC/status/964840232314179585,,,mortal,,,https://twitter.com/MrElDiablo8/status/964846590195216384,,,4:33,,,,,,,,,,,,,
"Movilización de servicios de emergencia por persona atropellada en Marina Nacional al cruce con Bahía de Ascensión, Col. Verónica Anzures.",Incidente vial,2018-02-17,"5577",,Marina Nacional,Bahía de Ascensión,peaton,https://twitter.com/RedVialRC/status/965055259772059654,,,,,,,,,18:47,,,,,,,,,,,,,
Aparente atropellado por autobús trans. público en lateral de periférico sur hacia Xochimilco metros antes de salida Tepepan en frente de McDonalds. Urge ambulancia.,Incidente vial,2018-02-18,"5578",,Periférico,Av. 16 de septiembre,peaton,https://twitter.com/gabichabicha/status/965282693960347653,,,,,,https://twitter.com/C5_CDMX/status/965288407818752000,,Atendido ambulancia MX-026-G2,9:51,,,,,,,,,,,,,
"Policía ATROPELLADO en Calz Vallejo y Pte 134 (x la mañana)...
",Incidente vial,2018-02-18,"5580",,Calzada Vallejo,Pte 134,peaton,https://twitter.com/JerrxG13/status/965339431787008001,,,,,,,,,13:37,,,,,,,,,,,,,
"Reportan persona que pierde la vida al ser atropellada en la Aut. México Puebla a la altura del Eje 10 Sur con dirección a Chalco; ¡Cede el paso a unidades de emergencia!",Incidente vial,2018-02-20,"5581",,Aut. México Puebla,Eje 10 Sur,peaton,https://twitter.com/RedVialRC/status/965934517822386176,,,mortal,,,https://twitter.com/isidrocorro/status/965939428089876480,,,5:01,,,,,,,,,,,,,
Movilización de servicios de emergencia por mujer que pierde la vida atropellada dentro del paradero de IndiosVerdes.,Incidente vial,2018-02-20,"5582",,Indios verdes,Paradero,peaton,https://twitter.com/RedVialRC/status/965946338000162816,,autobús,mortal,mujer,"25",https://twitter.com/MrElDiablo8/status/965947688490602496,,,5:48,,,,,,,,,,,,,
"Movilización de Servicios De Emergencia al cruce de las calles Donceles e Ignacio Allende, Col. Centro por persona atropellada. ¡Cede el paso a @SSP_CDMX y CruzRoja_MX!",Incidente vial,2018-02-20,"5584",,Donceles,Ignacio Allende,peaton,https://twitter.com/RedVialRC/status/966008766217977856,,,,,,,,,9:56,,,,,,,,,,,,,
"Movilización de servicios de emergencia en Vallejo y Cuitláhuac, reportan una persona atropellada por Metrobus CDMX.",Incidente vial,2018-02-21,"5587",,Calzada Vallejo,Cuitláhuac,peaton,https://twitter.com/RedVialRC/status/966396125451206658,,,,,,,,,11:36,,,,,,,,,,,,,
"Persona atropellada en circuito interior al cruce con Mexico-Tacuba, a un lado del anterior cine cosmos.",Incidente vial,2018-02-21,"5590",,Circuito interior,Mexico-Tacuba,peaton,https://twitter.com/banuet_/status/966528544955396097,,,,,,,,,20:22,,,,,,,,,,,,,
Servicios de emergencia sobre Av. Revolución a la altura de la calle 3 por persona atropellada. ¡Cede el paso!,Incidente vial,2018-02-22,"5591",,Revolución,calle 3,peaton,https://twitter.com/RedVialRC/status/966760942884270080,,,,,,,,,11:45,,,,,,,,,,,,,
Persona atropellada sobre el Eje Cuatro Xola al cruce con calle Castilla en la colonia Álamos. ¡Cede el paso a los servicios de emergencia!,Incidente vial,2018-02-22,"5593",,Eje 4 Xola,Castilla,peaton,https://twitter.com/RedVialRC/status/966848963298111488,,,,,,,,,17:35,,,,,,,,,,,,,
"Servicios De Emergencia laboran sobre el Anillo Periférico a la altura de Av. León de los Aldama, Gustavo a Madero, por persona que muere atropellada. 
Informa desde el lugar JAVIERR_RUIZ
",Incidente vial,2018-02-23,"5605",,Anillo Periférico,Av. León de los Aldama,peaton,https://twitter.com/RedVialRC/status/967118827996766208,,,mortal,,,https://twitter.com/MrElDiablo8/status/967130776964759552,,,,,,,,,,,,,,,,
Movilización de servicios de emergencia por persona atropellada en la Av. Eugenia poco antes de Insurgentes.,Incidente vial,2018-02-23,"5606",,Eugenia,Insurgentes,peaton,https://twitter.com/ApoyoVial/status/968155581826547714,,,,,,https://twitter.com/RedVialRC/status/968153280860884992,,,,,,,,,,,,,,,,
Movilización de servicios de emergencia por atropellado en Congreso de la Unión al cruce con Hortelanos.,Incidente vial,2018-02-26,"5607",,Av. Congreso de la Unión,Hortelanos,peaton,https://twitter.com/RedVialRC/status/968161881272631299,,,,,,https://twitter.com/MrElDiablo8/status/968162174437941249,,,8:32,,,,,,,,,,,,,
Ambulancia se dirige atender a persona atropellada por trasporte público en Jesús Ramírez y División del norte.,Incidente vial,2018-02-26,"5608",,Jesús Ramírez (Pilares),División del norte,peaton,https://twitter.com/ElPolloCDMX/status/968229522192683008,,,,,,,,,13:01,,,,,,,,,,,,,
Movilización de servicios de emergencia por persona atropellada en la Av. Ricardo Flores Magón al cruce con Zaragoza en la Col. Tlatelolco.,Incidente vial,2018-02-27,"5609",,Av. Ricardo Flores Magón,Zaragoza,peaton,https://twitter.com/RedVialRC/status/968467853165948931,,,,,,,,,4:48,,,,,,,,,,,,,
Insurgentes Sur esq. San Fernando en Tlalpan indican una persona atropellada en carril de MetroBus.,Incidente vial,2018-02-27,"5610",,Insurgentes Sur,San Fernando,peaton,https://twitter.com/MonitorCdmx/status/968497752215867393,,,,,,,,,6:47,,,,,,,,,,,,,
"Movilización de servicios de emergencia por atropellado en Monterrey cerca de Baja California; Col. Roma ¡Cede el paso a servicios de emergencia!",Incidente vial,2018-02-27,"5612",,Monterrey,Baja California,peaton,https://twitter.com/RedVialRC/status/968513701472022528,,,,,,,,,7:50,,,,,,,,,,,,,
